"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2019","0.003042","0.003030","0.003065","0.002946","324.85M","0.58%"
"Jun 11, 2019","0.003024","0.003039","0.003050","0.002961","123.18M","-0.49%"
"Jun 10, 2019","0.003039","0.002940","0.003067","0.002905","345.31M","3.38%"
"Jun 09, 2019","0.002940","0.003057","0.003066","0.002910","387.01M","-3.86%"
"Jun 08, 2019","0.003058","0.003098","0.003117","0.002989","295.55M","-1.31%"
"Jun 07, 2019","0.003098","0.003055","0.003120","0.003027","130.48M","1.30%"
"Jun 06, 2019","0.003058","0.003012","0.003059","0.002972","228.30M","1.54%"
"Jun 05, 2019","0.003012","0.002944","0.003059","0.002917","226.94M","2.27%"
"Jun 04, 2019","0.002945","0.003120","0.003121","0.002908","339.63M","-5.88%"
"Jun 03, 2019","0.003129","0.003376","0.003380","0.003123","327.41M","-7.42%"
"Jun 02, 2019","0.003380","0.003352","0.003422","0.003326","146.77M","0.89%"
"Jun 01, 2019","0.003350","0.003422","0.003436","0.003301","311.86M","-2.10%"
"May 31, 2019","0.003422","0.003184","0.003474","0.003123","283.91M","7.42%"
"May 30, 2019","0.003186","0.003170","0.003664","0.003111","325.18M","0.59%"
"May 29, 2019","0.003167","0.003155","0.003206","0.003026","253.34M","0.23%"
"May 28, 2019","0.003159","0.003119","0.003160","0.003080","174.12M","1.28%"
"May 27, 2019","0.003119","0.003059","0.003244","0.003030","239.54M","1.77%"
"May 26, 2019","0.003065","0.002985","0.003129","0.002918","274.60M","2.85%"
"May 25, 2019","0.002980","0.002997","0.003023","0.002924","281.38M","-0.58%"
"May 24, 2019","0.002997","0.002920","0.003041","0.002888","206.94M","2.80%"
"May 23, 2019","0.002916","0.002898","0.002946","0.002802","273.77M","0.63%"
"May 22, 2019","0.002897","0.003009","0.003041","0.002863","285.43M","-3.77%"
"May 21, 2019","0.003011","0.002968","0.003056","0.002923","203.00M","1.46%"
"May 20, 2019","0.002968","0.003131","0.003133","0.002881","259.61M","-5.24%"
"May 19, 2019","0.003132","0.002924","0.003145","0.002922","221.42M","6.88%"
"May 18, 2019","0.002930","0.002913","0.002991","0.002830","283.12M","0.59%"
"May 17, 2019","0.002913","0.003117","0.003138","0.002681","365.64M","-6.54%"
